broker_consultancy,Rent,Area,appartment_type,Deposit,Bathrooms,Facing,Address,Apartment Name,Status
"Arihant Estate Hub
AGENT
0",13000,1200,2,No Deposit,2 bathrooms,West facing,"Bhayli, Vadodara",,Semi-Furnished
"Shivalaya Associate
AGENT
0",22000,1450,3,No Deposit,3 bathrooms,,"Bhayli, Vadodara",,Semi-Furnished
"Vadodara Vista Realty
AGENT
0",65000,2250,3,No Deposit,2 bathrooms,,"Alkapuri, Vadodara",,Semi-Furnished
"Mars Property Dealer
AGENT
0",27000,2462,3,No Deposit,3 bathrooms,East facing,"Undera, Vadodara",Darshanam Clublife,Semi-Furnished
"White House Estate And Marketing Pvt Ltd
AGENT
0",75000,3000,4,No Deposit,4 bathrooms,NorthEast facing,"Bhayli, Vadodara",,Furnished
"Seller
VERIFIED OWNER",17000,920,2,No Deposit,1 bathrooms,,"Gorwa, Vadodara",,Furnished
"Seller
VERIFIED OWNER",18000,900,2,No Deposit,2 bathrooms,,"Vemali, Vadodara",,Furnished
"Seller
VERIFIED OWNER",8000,800,2,No Deposit,2 bathrooms,,"Tandalja, Vadodara",,Unfurnished
"Seller
VERIFIED OWNER",20000,1600,2,"40,000 deposit",2 bathrooms,,"Subhanpura, Vadodara",,Furnished
"Seller
VERIFIED OWNER",35000,2600,4,"70,000 deposit",4 bathrooms,,"Saiyed Vasna, Vadodara",,Furnished
"Seller
VERIFIED OWNER",18000,1500,2,"36,000 deposit",2 bathrooms,,"Diwalipura, Vadodara",,Furnished
"Seller
VERIFIED OWNER",20000,1440,3,No Deposit,3 bathrooms,West facing,"Tarsali, Vadodara",Swami Enclave,Unfurnished
"Seller
VERIFIED OWNER",7500,650,1,No Deposit,1 bathrooms,,"Gotri, Vadodara",,Semi-Furnished
"Seller
VERIFIED OWNER",14000,900,2,"28,000 deposit",1 bathrooms,,"Tarsali, Vadodara",,Semi-Furnished
"Seller
VERIFIED OWNER",14000,900,2,"28,000 deposit",2 bathrooms,,"Chhani, Vadodara",,Semi-Furnished
"Bhoomi Realty
AGENT
0",18500,1250,2,No Deposit,2 bathrooms,West facing,"Bhayli, Vadodara",,Furnished
"Mahakali Property
AGENT
0",27000,2000,3,No Deposit,3 bathrooms,East facing,"Bhayli, Vadodara",,Semi-Furnished
"Pramukh Properties
AGENT
0",35000,2170,3,No Deposit,3 bathrooms,,"Alkapuri, Vadodara",Darshanam Central Park,Furnished
"Priyansh Realty
AGENT
0",9000,1600,3,No Deposit,3 bathrooms,,"Atladara, Vadodara",Pratham Riviera,Unfurnished
"Aarohi Realty
AGENT
0",40000,2700,4,"80,000 deposit",4 bathrooms,,"Gotri, Vadodara",,Furnished
"Arihant Estate Hub
AGENT
0",13000,1200,2,No Deposit,2 bathrooms,West facing,"Bhayli, Vadodara",,Semi-Furnished
"Shivalaya Associate
AGENT
0",22000,1450,3,No Deposit,3 bathrooms,,"Bhayli, Vadodara",,Semi-Furnished
"Vadodara Vista Realty
AGENT
0",65000,2250,3,No Deposit,2 bathrooms,,"Alkapuri, Vadodara",,Semi-Furnished
"Mars Property Dealer
AGENT
0",27000,2462,3,No Deposit,3 bathrooms,East facing,"Undera, Vadodara",Darshanam Clublife,Semi-Furnished
"White House Estate And Marketing Pvt Ltd
AGENT
0",75000,3000,4,No Deposit,4 bathrooms,NorthEast facing,"Bhayli, Vadodara",,Furnished
"Seller
VERIFIED OWNER",17000,920,2,No Deposit,1 bathrooms,,"Gorwa, Vadodara",,Furnished
"Seller
VERIFIED OWNER",18000,900,2,No Deposit,2 bathrooms,,"Vemali, Vadodara",,Furnished
"Seller
VERIFIED OWNER",8000,800,2,No Deposit,2 bathrooms,,"Tandalja, Vadodara",,Unfurnished
"Seller
VERIFIED OWNER",20000,1600,2,"40,000 deposit",2 bathrooms,,"Subhanpura, Vadodara",,Furnished
"Seller
VERIFIED OWNER",35000,2600,4,"70,000 deposit",4 bathrooms,,"Saiyed Vasna, Vadodara",,Furnished
"Seller
VERIFIED OWNER",18000,1500,2,"36,000 deposit",2 bathrooms,,"Diwalipura, Vadodara",,Furnished
"Seller
VERIFIED OWNER",20000,1440,3,No Deposit,3 bathrooms,West facing,"Tarsali, Vadodara",Swami Enclave,Unfurnished
"Seller
VERIFIED OWNER",7500,650,1,No Deposit,1 bathrooms,,"Gotri, Vadodara",,Semi-Furnished
"Seller
VERIFIED OWNER",14000,900,2,"28,000 deposit",1 bathrooms,,"Tarsali, Vadodara",,Semi-Furnished
"Seller
VERIFIED OWNER",14000,900,2,"28,000 deposit",2 bathrooms,,"Chhani, Vadodara",,Semi-Furnished
"Bhoomi Realty
AGENT
0",18500,1250,2,No Deposit,2 bathrooms,West facing,"Bhayli, Vadodara",,Furnished
"Mahakali Property
AGENT
0",27000,2000,3,No Deposit,3 bathrooms,East facing,"Bhayli, Vadodara",,Semi-Furnished
"Pramukh Properties
AGENT
0",35000,2170,3,No Deposit,3 bathrooms,,"Alkapuri, Vadodara",Darshanam Central Park,Furnished
"Priyansh Realty
AGENT
0",9000,1600,3,No Deposit,3 bathrooms,,"Atladara, Vadodara",Pratham Riviera,Unfurnished
"Aarohi Realty
AGENT
0",40000,2700,4,"80,000 deposit",4 bathrooms,,"Gotri, Vadodara",,Furnished
"Arihant Estate Hub
AGENT
0",13000,1200,2,No Deposit,2 bathrooms,West facing,"Bhayli, Vadodara",,Semi-Furnished
"Shivalaya Associate
AGENT
0",22000,1450,3,No Deposit,3 bathrooms,,"Bhayli, Vadodara",,Semi-Furnished
"Vadodara Vista Realty
AGENT
0",65000,2250,3,No Deposit,2 bathrooms,,"Alkapuri, Vadodara",,Semi-Furnished
"Mars Property Dealer
AGENT
0",27000,2462,3,No Deposit,3 bathrooms,East facing,"Undera, Vadodara",Darshanam Clublife,Semi-Furnished
"White House Estate And Marketing Pvt Ltd
AGENT
0",75000,3000,4,No Deposit,4 bathrooms,NorthEast facing,"Bhayli, Vadodara",,Furnished
"Seller
VERIFIED OWNER",17000,920,2,No Deposit,1 bathrooms,,"Gorwa, Vadodara",,Furnished
"Seller
VERIFIED OWNER",18000,900,2,No Deposit,2 bathrooms,,"Vemali, Vadodara",,Furnished
"Seller
VERIFIED OWNER",8000,800,2,No Deposit,2 bathrooms,,"Tandalja, Vadodara",,Unfurnished
"Seller
VERIFIED OWNER",20000,1600,2,"40,000 deposit",2 bathrooms,,"Subhanpura, Vadodara",,Furnished
"Seller
VERIFIED OWNER",35000,2600,4,"70,000 deposit",4 bathrooms,,"Saiyed Vasna, Vadodara",,Furnished
"Seller
VERIFIED OWNER",18000,1500,2,"36,000 deposit",2 bathrooms,,"Diwalipura, Vadodara",,Furnished
"Seller
VERIFIED OWNER",20000,1440,3,No Deposit,3 bathrooms,West facing,"Tarsali, Vadodara",Swami Enclave,Unfurnished
"Seller
VERIFIED OWNER",7500,650,1,No Deposit,1 bathrooms,,"Gotri, Vadodara",,Semi-Furnished
"Seller
VERIFIED OWNER",14000,900,2,"28,000 deposit",1 bathrooms,,"Tarsali, Vadodara",,Semi-Furnished
"Seller
VERIFIED OWNER",14000,900,2,"28,000 deposit",2 bathrooms,,"Chhani, Vadodara",,Semi-Furnished
"Bhoomi Realty
AGENT
-",18500,1250,2,No Deposit,2 bathrooms,West facing,"Bhayli, Vadodara",,Furnished
"Mahakali Property
AGENT
-",27000,2000,3,No Deposit,3 bathrooms,East facing,"Bhayli, Vadodara",,Semi-Furnished
"Pramukh Properties
AGENT
-",35000,2170,3,No Deposit,3 bathrooms,,"Alkapuri, Vadodara",Darshanam Central Park,Furnished
"Priyansh Realty
AGENT
-",9000,1600,3,No Deposit,3 bathrooms,,"Atladara, Vadodara",Pratham Riviera,Unfurnished
"Aarohi Realty
AGENT
-",40000,2700,4,"80,000 deposit",4 bathrooms,,"Gotri, Vadodara",,Furnished
"Arihant Estate Hub
AGENT
-",13000,1200,2,No Deposit,2 bathrooms,West facing,"Bhayli, Vadodara",,Semi-Furnished
"Shivalaya Associate
AGENT
-",22000,1450,3,No Deposit,3 bathrooms,,"Bhayli, Vadodara",,Semi-Furnished
"Vadodara Vista Realty
AGENT
-",65000,2250,3,No Deposit,2 bathrooms,,"Alkapuri, Vadodara",,Semi-Furnished
"Mars Property Dealer
AGENT
-",27000,2462,3,No Deposit,3 bathrooms,East facing,"Undera, Vadodara",Darshanam Clublife,Semi-Furnished
"White House Estate And Marketing Pvt Ltd
AGENT
-",75000,3000,4,No Deposit,4 bathrooms,NorthEast facing,"Bhayli, Vadodara",,Furnished
"Seller
VERIFIED OWNER",17000,920,2,No Deposit,1 bathrooms,,"Gorwa, Vadodara",,Furnished
"Seller
VERIFIED OWNER",18000,900,2,No Deposit,2 bathrooms,,"Vemali, Vadodara",,Furnished
"Seller
VERIFIED OWNER",8000,800,2,No Deposit,2 bathrooms,,"Tandalja, Vadodara",,Unfurnished
"Seller
VERIFIED OWNER",20000,1600,2,"40,000 deposit",2 bathrooms,,"Subhanpura, Vadodara",,Furnished
"Seller
VERIFIED OWNER",35000,2600,4,"70,000 deposit",4 bathrooms,,"Saiyed Vasna, Vadodara",,Furnished
"Seller
VERIFIED OWNER",18000,1500,2,"36,000 deposit",2 bathrooms,,"Diwalipura, Vadodara",,Furnished
"Seller
VERIFIED OWNER",20000,1440,3,No Deposit,3 bathrooms,West facing,"Tarsali, Vadodara",Swami Enclave,Unfurnished
"Seller
VERIFIED OWNER",7500,650,1,No Deposit,1 bathrooms,,"Gotri, Vadodara",,Semi-Furnished
"Seller
VERIFIED OWNER",14000,900,2,"28,000 deposit",1 bathrooms,,"Tarsali, Vadodara",,Semi-Furnished
"Seller
VERIFIED OWNER",14000,900,2,"28,000 deposit",2 bathrooms,,"Chhani, Vadodara",,Semi-Furnished
"Bhoomi Realty
AGENT
0",18500,1250,2,No Deposit,2 bathrooms,West facing,"Bhayli, Vadodara",,Furnished
"Mahakali Property
AGENT
0",27000,2000,3,No Deposit,3 bathrooms,East facing,"Bhayli, Vadodara",,Semi-Furnished
"Pramukh Properties
AGENT
0",35000,2170,3,No Deposit,3 bathrooms,,"Alkapuri, Vadodara",Darshanam Central Park,Furnished
"Priyansh Realty
AGENT
0",9000,1600,3,No Deposit,3 bathrooms,,"Atladara, Vadodara",Pratham Riviera,Unfurnished
"Aarohi Realty
AGENT
0",40000,2700,4,"80,000 deposit",4 bathrooms,,"Gotri, Vadodara",,Furnished
"Arihant Estate Hub
AGENT
0",13000,1200,2,No Deposit,2 bathrooms,West facing,"Bhayli, Vadodara",,Semi-Furnished
"Shivalaya Associate
AGENT
0",22000,1450,3,No Deposit,3 bathrooms,,"Bhayli, Vadodara",,Semi-Furnished
"Vadodara Vista Realty
AGENT
0",65000,2250,3,No Deposit,2 bathrooms,,"Alkapuri, Vadodara",,Semi-Furnished
"Mars Property Dealer
AGENT
0",27000,2462,3,No Deposit,3 bathrooms,East facing,"Undera, Vadodara",Darshanam Clublife,Semi-Furnished
"White House Estate And Marketing Pvt Ltd
AGENT
0",75000,3000,4,No Deposit,4 bathrooms,NorthEast facing,"Bhayli, Vadodara",,Furnished
"Seller
VERIFIED OWNER",17000,920,2,No Deposit,1 bathrooms,,"Gorwa, Vadodara",,Furnished
"Seller
VERIFIED OWNER",18000,900,2,No Deposit,2 bathrooms,,"Vemali, Vadodara",,Furnished
"Seller
VERIFIED OWNER",8000,800,2,No Deposit,2 bathrooms,,"Tandalja, Vadodara",,Unfurnished
"Seller
VERIFIED OWNER",20000,1600,2,"40,000 deposit",2 bathrooms,,"Subhanpura, Vadodara",,Furnished
"Seller
VERIFIED OWNER",35000,2600,4,"70,000 deposit",4 bathrooms,,"Saiyed Vasna, Vadodara",,Furnished
"Seller
VERIFIED OWNER",18000,1500,2,"36,000 deposit",2 bathrooms,,"Diwalipura, Vadodara",,Furnished
"Seller
VERIFIED OWNER",20000,1440,3,No Deposit,3 bathrooms,West facing,"Tarsali, Vadodara",Swami Enclave,Unfurnished
"Seller
VERIFIED OWNER",7500,650,1,No Deposit,1 bathrooms,,"Gotri, Vadodara",,Semi-Furnished
"Seller
VERIFIED OWNER",14000,900,2,"28,000 deposit",1 bathrooms,,"Tarsali, Vadodara",,Semi-Furnished
"Seller
VERIFIED OWNER",14000,900,2,"28,000 deposit",2 bathrooms,,"Chhani, Vadodara",,Semi-Furnished
"Bhoomi Realty
AGENT
0",18500,1250,2,No Deposit,2 bathrooms,West facing,"Bhayli, Vadodara",,Furnished
"Mahakali Property
AGENT
0",27000,2000,3,No Deposit,3 bathrooms,East facing,"Bhayli, Vadodara",,Semi-Furnished
"Pramukh Properties
AGENT
0",35000,2170,3,No Deposit,3 bathrooms,,"Alkapuri, Vadodara",Darshanam Central Park,Furnished
"Priyansh Realty
AGENT
0",9000,1600,3,No Deposit,3 bathrooms,,"Atladara, Vadodara",Pratham Riviera,Unfurnished
"Aarohi Realty
AGENT
0",40000,2700,4,"80,000 deposit",4 bathrooms,,"Gotri, Vadodara",,Furnished
"Arihant Estate Hub
AGENT
0",13000,1200,2,No Deposit,2 bathrooms,West facing,"Bhayli, Vadodara",,Semi-Furnished
"Shivalaya Associate
AGENT
0",22000,1450,3,No Deposit,3 bathrooms,,"Bhayli, Vadodara",,Semi-Furnished
"Vadodara Vista Realty
AGENT
0",65000,2250,3,No Deposit,2 bathrooms,,"Alkapuri, Vadodara",,Semi-Furnished
"Mars Property Dealer
AGENT
0",27000,2462,3,No Deposit,3 bathrooms,East facing,"Undera, Vadodara",Darshanam Clublife,Semi-Furnished
"White House Estate And Marketing Pvt Ltd
AGENT
0",75000,3000,4,No Deposit,4 bathrooms,NorthEast facing,"Bhayli, Vadodara",,Furnished
"Seller
VERIFIED OWNER",17000,920,2,No Deposit,1 bathrooms,,"Gorwa, Vadodara",,Furnished
"Seller
VERIFIED OWNER",18000,900,2,No Deposit,2 bathrooms,,"Vemali, Vadodara",,Furnished
"Seller
VERIFIED OWNER",8000,800,2,No Deposit,2 bathrooms,,"Tandalja, Vadodara",,Unfurnished
"Seller
VERIFIED OWNER",20000,1600,2,"40,000 deposit",2 bathrooms,,"Subhanpura, Vadodara",,Furnished
"Seller
VERIFIED OWNER",35000,2600,4,"70,000 deposit",4 bathrooms,,"Saiyed Vasna, Vadodara",,Furnished
"Seller
VERIFIED OWNER",18000,1500,2,"36,000 deposit",2 bathrooms,,"Diwalipura, Vadodara",,Furnished
"Seller
VERIFIED OWNER",20000,1440,3,No Deposit,3 bathrooms,West facing,"Tarsali, Vadodara",Swami Enclave,Unfurnished
"Seller
VERIFIED OWNER",7500,650,1,No Deposit,1 bathrooms,,"Gotri, Vadodara",,Semi-Furnished
"Seller
VERIFIED OWNER",14000,900,2,"28,000 deposit",1 bathrooms,,"Tarsali, Vadodara",,Semi-Furnished
"Seller
VERIFIED OWNER",14000,900,2,"28,000 deposit",2 bathrooms,,"Chhani, Vadodara",,Semi-Furnished
"Bhoomi Realty
AGENT
0",18500,1250,2,No Deposit,2 bathrooms,West facing,"Bhayli, Vadodara",,Furnished
"Mahakali Property
AGENT
0",27000,2000,3,No Deposit,3 bathrooms,East facing,"Bhayli, Vadodara",,Semi-Furnished
"Pramukh Properties
AGENT
0",35000,2170,3,No Deposit,3 bathrooms,,"Alkapuri, Vadodara",Darshanam Central Park,Furnished
"Priyansh Realty
AGENT
0",9000,1600,3,No Deposit,3 bathrooms,,"Atladara, Vadodara",Pratham Riviera,Unfurnished
"Aarohi Realty
AGENT
0",40000,2700,4,"80,000 deposit",4 bathrooms,,"Gotri, Vadodara",,Furnished
"Arihant Estate Hub
AGENT
0",13000,1200,2,No Deposit,2 bathrooms,West facing,"Bhayli, Vadodara",,Semi-Furnished
"Shivalaya Associate
AGENT
0",22000,1450,3,No Deposit,3 bathrooms,,"Bhayli, Vadodara",,Semi-Furnished
"Vadodara Vista Realty
AGENT
0",65000,2250,3,No Deposit,2 bathrooms,,"Alkapuri, Vadodara",,Semi-Furnished
"Mars Property Dealer
AGENT
0",27000,2462,3,No Deposit,3 bathrooms,East facing,"Undera, Vadodara",Darshanam Clublife,Semi-Furnished
"White House Estate And Marketing Pvt Ltd
AGENT
0",75000,3000,4,No Deposit,4 bathrooms,NorthEast facing,"Bhayli, Vadodara",,Furnished
"Seller
VERIFIED OWNER",17000,920,2,No Deposit,1 bathrooms,,"Gorwa, Vadodara",,Furnished
"Seller
VERIFIED OWNER",18000,900,2,No Deposit,2 bathrooms,,"Vemali, Vadodara",,Furnished
"Seller
VERIFIED OWNER",8000,800,2,No Deposit,2 bathrooms,,"Tandalja, Vadodara",,Unfurnished
"Seller
VERIFIED OWNER",20000,1600,2,"40,000 deposit",2 bathrooms,,"Subhanpura, Vadodara",,Furnished
"Seller
VERIFIED OWNER",35000,2600,4,"70,000 deposit",4 bathrooms,,"Saiyed Vasna, Vadodara",,Furnished
"Seller
VERIFIED OWNER",18000,1500,2,"36,000 deposit",2 bathrooms,,"Diwalipura, Vadodara",,Furnished
"Seller
VERIFIED OWNER",20000,1440,3,No Deposit,3 bathrooms,West facing,"Tarsali, Vadodara",Swami Enclave,Unfurnished
"Seller
VERIFIED OWNER",7500,650,1,No Deposit,1 bathrooms,,"Gotri, Vadodara",,Semi-Furnished
"Seller
VERIFIED OWNER",14000,900,2,"28,000 deposit",1 bathrooms,,"Tarsali, Vadodara",,Semi-Furnished
"Seller
VERIFIED OWNER",14000,900,2,"28,000 deposit",2 bathrooms,,"Chhani, Vadodara",,Semi-Furnished
"Bhoomi Realty
AGENT
0",18500,1250,2,No Deposit,2 bathrooms,West facing,"Bhayli, Vadodara",,Furnished
"Mahakali Property
AGENT
0",27000,2000,3,No Deposit,3 bathrooms,East facing,"Bhayli, Vadodara",,Semi-Furnished
"Pramukh Properties
AGENT
0",35000,2170,3,No Deposit,3 bathrooms,,"Alkapuri, Vadodara",Darshanam Central Park,Furnished
"Priyansh Realty
AGENT
0",9000,1600,3,No Deposit,3 bathrooms,,"Atladara, Vadodara",Pratham Riviera,Unfurnished
"Aarohi Realty
AGENT
0",40000,2700,4,"80,000 deposit",4 bathrooms,,"Gotri, Vadodara",,Furnished
"Arihant Estate Hub
AGENT
0",13000,1200,2,No Deposit,2 bathrooms,West facing,"Bhayli, Vadodara",,Semi-Furnished
"Shivalaya Associate
AGENT
0",22000,1450,3,No Deposit,3 bathrooms,,"Bhayli, Vadodara",,Semi-Furnished
"Vadodara Vista Realty
AGENT
-",65000,2250,3,No Deposit,2 bathrooms,,"Alkapuri, Vadodara",,Semi-Furnished
"Mars Property Dealer
AGENT
-",27000,2462,3,No Deposit,3 bathrooms,East facing,"Undera, Vadodara",Darshanam Clublife,Semi-Furnished
"White House Estate And Marketing Pvt Ltd
AGENT
-",75000,3000,4,No Deposit,4 bathrooms,NorthEast facing,"Bhayli, Vadodara",,Furnished
"Seller
VERIFIED OWNER",17000,920,2,No Deposit,1 bathrooms,,"Gorwa, Vadodara",,Furnished
"Seller
VERIFIED OWNER",18000,900,2,No Deposit,2 bathrooms,,"Vemali, Vadodara",,Furnished
"Seller
VERIFIED OWNER",8000,800,2,No Deposit,2 bathrooms,,"Tandalja, Vadodara",,Unfurnished
"Seller
VERIFIED OWNER",20000,1600,2,"40,000 deposit",2 bathrooms,,"Subhanpura, Vadodara",,Furnished
"Seller
VERIFIED OWNER",35000,2600,4,"70,000 deposit",4 bathrooms,,"Saiyed Vasna, Vadodara",,Furnished
"Seller
VERIFIED OWNER",18000,1500,2,"36,000 deposit",2 bathrooms,,"Diwalipura, Vadodara",,Furnished
"Seller
VERIFIED OWNER",20000,1440,3,No Deposit,3 bathrooms,West facing,"Tarsali, Vadodara",Swami Enclave,Unfurnished
"Seller
VERIFIED OWNER",7500,650,1,No Deposit,1 bathrooms,,"Gotri, Vadodara",,Semi-Furnished
"Seller
VERIFIED OWNER",14000,900,2,"28,000 deposit",1 bathrooms,,"Tarsali, Vadodara",,Semi-Furnished
"Seller
VERIFIED OWNER",14000,900,2,"28,000 deposit",2 bathrooms,,"Chhani, Vadodara",,Semi-Furnished
"Bhoomi Realty
AGENT
0",18500,1250,2,No Deposit,2 bathrooms,West facing,"Bhayli, Vadodara",,Furnished
"Mahakali Property
AGENT
0",27000,2000,3,No Deposit,3 bathrooms,East facing,"Bhayli, Vadodara",,Semi-Furnished
"Pramukh Properties
AGENT
0",35000,2170,3,No Deposit,3 bathrooms,,"Alkapuri, Vadodara",Darshanam Central Park,Furnished
"Priyansh Realty
AGENT
0",9000,1600,3,No Deposit,3 bathrooms,,"Atladara, Vadodara",Pratham Riviera,Unfurnished
"Aarohi Realty
AGENT
0",40000,2700,4,"80,000 deposit",4 bathrooms,,"Gotri, Vadodara",,Furnished
"Arihant Estate Hub
AGENT
0",13000,1200,2,No Deposit,2 bathrooms,West facing,"Bhayli, Vadodara",,Semi-Furnished
"Shivalaya Associate
AGENT
0",22000,1450,3,No Deposit,3 bathrooms,,"Bhayli, Vadodara",,Semi-Furnished
"Vadodara Vista Realty
AGENT
0",65000,2250,3,No Deposit,2 bathrooms,,"Alkapuri, Vadodara",,Semi-Furnished
"Mars Property Dealer
AGENT
0",27000,2462,3,No Deposit,3 bathrooms,East facing,"Undera, Vadodara",Darshanam Clublife,Semi-Furnished
"White House Estate And Marketing Pvt Ltd
AGENT
0",75000,3000,4,No Deposit,4 bathrooms,NorthEast facing,"Bhayli, Vadodara",,Furnished
"Seller
VERIFIED OWNER",17000,920,2,No Deposit,1 bathrooms,,"Gorwa, Vadodara",,Furnished
"Seller
VERIFIED OWNER",18000,900,2,No Deposit,2 bathrooms,,"Vemali, Vadodara",,Furnished
"Seller
VERIFIED OWNER",8000,800,2,No Deposit,2 bathrooms,,"Tandalja, Vadodara",,Unfurnished
"Seller
VERIFIED OWNER",20000,1600,2,"40,000 deposit",2 bathrooms,,"Subhanpura, Vadodara",,Furnished
"Seller
VERIFIED OWNER",35000,2600,4,"70,000 deposit",4 bathrooms,,"Saiyed Vasna, Vadodara",,Furnished
"Seller
VERIFIED OWNER",18000,1500,2,"36,000 deposit",2 bathrooms,,"Diwalipura, Vadodara",,Furnished
"Seller
VERIFIED OWNER",20000,1440,3,No Deposit,3 bathrooms,West facing,"Tarsali, Vadodara",Swami Enclave,Unfurnished
"Seller
VERIFIED OWNER",7500,650,1,No Deposit,1 bathrooms,,"Gotri, Vadodara",,Semi-Furnished
"Seller
VERIFIED OWNER",14000,900,2,"28,000 deposit",1 bathrooms,,"Tarsali, Vadodara",,Semi-Furnished
"Seller
VERIFIED OWNER",14000,900,2,"28,000 deposit",2 bathrooms,,"Chhani, Vadodara",,Semi-Furnished
"Bhoomi Realty
AGENT
0",18500,1250,2,No Deposit,2 bathrooms,West facing,"Bhayli, Vadodara",,Furnished
"Mahakali Property
AGENT
0",27000,2000,3,No Deposit,3 bathrooms,East facing,"Bhayli, Vadodara",,Semi-Furnished
"Pramukh Properties
AGENT
0",35000,2170,3,No Deposit,3 bathrooms,,"Alkapuri, Vadodara",Darshanam Central Park,Furnished
"Priyansh Realty
AGENT
0",9000,1600,3,No Deposit,3 bathrooms,,"Atladara, Vadodara",Pratham Riviera,Unfurnished
"Aarohi Realty
AGENT
0",40000,2700,4,"80,000 deposit",4 bathrooms,,"Gotri, Vadodara",,Furnished
"Arihant Estate Hub
AGENT
0",13000,1200,2,No Deposit,2 bathrooms,West facing,"Bhayli, Vadodara",,Semi-Furnished
"Shivalaya Associate
AGENT
0",22000,1450,3,No Deposit,3 bathrooms,,"Bhayli, Vadodara",,Semi-Furnished
"Vadodara Vista Realty
AGENT
0",65000,2250,3,No Deposit,2 bathrooms,,"Alkapuri, Vadodara",,Semi-Furnished
"Mars Property Dealer
AGENT
0",27000,2462,3,No Deposit,3 bathrooms,East facing,"Undera, Vadodara",Darshanam Clublife,Semi-Furnished
"White House Estate And Marketing Pvt Ltd
AGENT
0",75000,3000,4,No Deposit,4 bathrooms,NorthEast facing,"Bhayli, Vadodara",,Furnished
"Seller
VERIFIED OWNER",17000,920,2,No Deposit,1 bathrooms,,"Gorwa, Vadodara",,Furnished
"Seller
VERIFIED OWNER",18000,900,2,No Deposit,2 bathrooms,,"Vemali, Vadodara",,Furnished
"Seller
VERIFIED OWNER",8000,800,2,No Deposit,2 bathrooms,,"Tandalja, Vadodara",,Unfurnished
"Seller
VERIFIED OWNER",20000,1600,2,"40,000 deposit",2 bathrooms,,"Subhanpura, Vadodara",,Furnished
"Seller
VERIFIED OWNER",35000,2600,4,"70,000 deposit",4 bathrooms,,"Saiyed Vasna, Vadodara",,Furnished
"Seller
VERIFIED OWNER",18000,1500,2,"36,000 deposit",2 bathrooms,,"Diwalipura, Vadodara",,Furnished
"Seller
VERIFIED OWNER",20000,1440,3,No Deposit,3 bathrooms,West facing,"Tarsali, Vadodara",Swami Enclave,Unfurnished
"Seller
VERIFIED OWNER",7500,650,1,No Deposit,1 bathrooms,,"Gotri, Vadodara",,Semi-Furnished
"Seller
VERIFIED OWNER",14000,900,2,"28,000 deposit",1 bathrooms,,"Tarsali, Vadodara",,Semi-Furnished
"Seller
VERIFIED OWNER",14000,900,2,"28,000 deposit",2 bathrooms,,"Chhani, Vadodara",,Semi-Furnished
"Bhoomi Realty
AGENT
0",18500,1250,2,No Deposit,2 bathrooms,West facing,"Bhayli, Vadodara",,Furnished
"Mahakali Property
AGENT
0",27000,2000,3,No Deposit,3 bathrooms,East facing,"Bhayli, Vadodara",,Semi-Furnished
"Pramukh Properties
AGENT
0",35000,2170,3,No Deposit,3 bathrooms,,"Alkapuri, Vadodara",Darshanam Central Park,Furnished
"Priyansh Realty
AGENT
0",9000,1600,3,No Deposit,3 bathrooms,,"Atladara, Vadodara",Pratham Riviera,Unfurnished
"Aarohi Realty
AGENT
0",40000,2700,4,"80,000 deposit",4 bathrooms,,"Gotri, Vadodara",,Furnished
"Arihant Estate Hub
AGENT
0",13000,1200,2,No Deposit,2 bathrooms,West facing,"Bhayli, Vadodara",,Semi-Furnished
"Shivalaya Associate
AGENT
0",22000,1450,3,No Deposit,3 bathrooms,,"Bhayli, Vadodara",,Semi-Furnished
"Vadodara Vista Realty
AGENT
0",65000,2250,3,No Deposit,2 bathrooms,,"Alkapuri, Vadodara",,Semi-Furnished
"Mars Property Dealer
AGENT
0",27000,2462,3,No Deposit,3 bathrooms,East facing,"Undera, Vadodara",Darshanam Clublife,Semi-Furnished
"White House Estate And Marketing Pvt Ltd
AGENT
0",75000,3000,4,No Deposit,4 bathrooms,NorthEast facing,"Bhayli, Vadodara",,Furnished
