broker_consultancy,Rent,Area,appartment_type,Deposit,Bathrooms,Facing,Address,Apartment Name,Status,Rent/sqfit,localityclass
"Seller
VERIFIED OWNER",8000,300,1,No Deposit,1 bathrooms,,"Kasavanahalli, Bangalore",,Furnished,26.6666666666667,class2
"Seller
VERIFIED OWNER",7000,1000,1,No Deposit,1 bathrooms,,"Domlur Layout, Bangalore",,Semi-Furnished,7,class3
"Seller
VERIFIED OWNER",13000,600,2,No Deposit,2 bathrooms,,"BTM Layout, Bangalore",,Semi-Furnished,21.6666666666667,class2
"Seller
VERIFIED OWNER",15000,1100,2,No Deposit,2 bathrooms,,"Koramangala, Bangalore",,Semi-Furnished,13.6363636363636,class3
"Seller
VERIFIED OWNER",9500,600,1,No Deposit,1 bathrooms,,"Electronics City, Bangalore",,Semi-Furnished,15.8333333333333,class2
"Seller
VERIFIED OWNER",15000,1300,2,No Deposit,2 bathrooms,East facing,"RR Nagar, Bangalore",,Semi-Furnished,11.5384615384615,class3
"Seller
VERIFIED OWNER",11000,1250,2,No Deposit,1 bathrooms,North facing,"Ramamurthy Nagar, Bangalore",,Semi-Furnished,8.8,class3
"Seller
VERIFIED OWNER",14000,450,1,No Deposit,1 bathrooms,,"Munnekollal, Bangalore",,Semi-Furnished,31.1111111111111,class2
"Seller
VERIFIED OWNER",12000,840,2,No Deposit,2 bathrooms,,"Nelamangala, Bangalore",Tata New Haven,Semi-Furnished,14.2857142857143,class3
"Seller
VERIFIED OWNER",13000,2000,1,No Deposit,3 bathrooms,,"Gottigere, Bangalore",,Semi-Furnished,6.5,class3
"Seller
VERIFIED OWNER",13000,1200,1,No Deposit,2 bathrooms,,"Margondanahalli, Bangalore",,Semi-Furnished,10.8333333333333,class3
"Seller
VERIFIED OWNER",6500,350,1,No Deposit,1 bathrooms,,"J. P. Nagar, Bangalore",,Semi-Furnished,18.5714285714286,class2
"Seller
VERIFIED OWNER",21000,550,1,No Deposit,1 bathrooms,North facing,"Whitefield, Bangalore",,Furnished,38.1818181818182,class1
"Seller
VERIFIED OWNER",9500,1200,2,No Deposit,2 bathrooms,NorthEast facing,"Kithaganur Colony, Bangalore",,Semi-Furnished,7.91666666666667,class3
"Seller
VERIFIED OWNER",20000,550,1,No Deposit,1 bathrooms,West facing,"Whitefield, Bangalore",,Furnished,36.3636363636364,class1
"Seller
VERIFIED OWNER",32800,550,1,No Deposit,1 bathrooms,East facing,"Bellandur, Bangalore",,Furnished,59.6363636363636,class1
"Seller
VERIFIED OWNER",18000,550,1,No Deposit,1 bathrooms,East facing,"Krishnarajapura, Bangalore",,Furnished,32.7272727272727,class2
"Seller
VERIFIED OWNER",65000,1650,3,No Deposit,3 bathrooms,,"Sarjapur Road Post Railway Crossing,",Ahad Euphoria,Semi-Furnished,39.3939393939394,class1
"Seller
VERIFIED OWNER",18000,1000,2,No Deposit,2 bathrooms,,"byatarayanapura, Bangalore",,Semi-Furnished,18,class2
"Seller
VERIFIED OWNER",25000,850,2,No Deposit,2 bathrooms,East facing,"Kasavanahalli, Bangalore",,Semi-Furnished,29.4117647058823,class2
"Seller
VERIFIED OWNER",8000,300,1,No Deposit,1 bathrooms,,"Kasavanahalli, Bangalore",,Furnished,26.6666666666667,class2
"Seller
VERIFIED OWNER",7000,1000,1,No Deposit,1 bathrooms,,"Domlur Layout, Bangalore",,Semi-Furnished,7,class3
"Seller
VERIFIED OWNER",13000,600,2,No Deposit,2 bathrooms,,"BTM Layout, Bangalore",,Semi-Furnished,21.6666666666667,class2
"Seller
VERIFIED OWNER",15000,1100,2,No Deposit,2 bathrooms,,"Koramangala, Bangalore",,Semi-Furnished,13.6363636363636,class3
"Seller
VERIFIED OWNER",9500,600,1,No Deposit,1 bathrooms,,"Electronics City, Bangalore",,Semi-Furnished,15.8333333333333,class2
"Seller
VERIFIED OWNER",15000,1300,2,No Deposit,2 bathrooms,East facing,"RR Nagar, Bangalore",,Semi-Furnished,11.5384615384615,class3
"Seller
VERIFIED OWNER",11000,1250,2,No Deposit,1 bathrooms,North facing,"Ramamurthy Nagar, Bangalore",,Semi-Furnished,8.8,class3
"Seller
VERIFIED OWNER",14000,450,1,No Deposit,1 bathrooms,,"Munnekollal, Bangalore",,Semi-Furnished,31.1111111111111,class2
"Seller
VERIFIED OWNER",12000,840,2,No Deposit,2 bathrooms,,"Nelamangala, Bangalore",Tata New Haven,Semi-Furnished,14.2857142857143,class3
"Seller
VERIFIED OWNER",13000,2000,1,No Deposit,3 bathrooms,,"Gottigere, Bangalore",,Semi-Furnished,6.5,class3
"Seller
VERIFIED OWNER",13000,1200,1,No Deposit,2 bathrooms,,"Margondanahalli, Bangalore",,Semi-Furnished,10.8333333333333,class3
"Seller
VERIFIED OWNER",6500,350,1,No Deposit,1 bathrooms,,"J. P. Nagar, Bangalore",,Semi-Furnished,18.5714285714286,class2
"Seller
VERIFIED OWNER",21000,550,1,No Deposit,1 bathrooms,North facing,"Whitefield, Bangalore",,Furnished,38.1818181818182,class1
"Seller
VERIFIED OWNER",9500,1200,2,No Deposit,2 bathrooms,NorthEast facing,"Kithaganur Colony, Bangalore",,Semi-Furnished,7.91666666666667,class3
"Seller
VERIFIED OWNER",20000,550,1,No Deposit,1 bathrooms,West facing,"Whitefield, Bangalore",,Furnished,36.3636363636364,class1
"Seller
VERIFIED OWNER",32800,550,1,No Deposit,1 bathrooms,East facing,"Bellandur, Bangalore",,Furnished,59.6363636363636,class1
"Seller
VERIFIED OWNER",18000,550,1,No Deposit,1 bathrooms,East facing,"Krishnarajapura, Bangalore",,Furnished,32.7272727272727,class2
"Seller
VERIFIED OWNER",65000,1650,3,No Deposit,3 bathrooms,,"Sarjapur Road Post Railway Crossing,",Ahad Euphoria,Semi-Furnished,39.3939393939394,class1
"Seller
VERIFIED OWNER",18000,1000,2,No Deposit,2 bathrooms,,"byatarayanapura, Bangalore",,Semi-Furnished,18,class2
"Seller
VERIFIED OWNER",25000,850,2,No Deposit,2 bathrooms,East facing,"Kasavanahalli, Bangalore",,Semi-Furnished,29.4117647058823,class2
"Seller
VERIFIED OWNER",8000,300,1,No Deposit,1 bathrooms,,"Kasavanahalli, Bangalore",,Furnished,26.6666666666667,class2
"Seller
VERIFIED OWNER",7000,1000,1,No Deposit,1 bathrooms,,"Domlur Layout, Bangalore",,Semi-Furnished,7,class3
"Seller
VERIFIED OWNER",13000,600,2,No Deposit,2 bathrooms,,"BTM Layout, Bangalore",,Semi-Furnished,21.6666666666667,class2
"Seller
VERIFIED OWNER",15000,1100,2,No Deposit,2 bathrooms,,"Koramangala, Bangalore",,Semi-Furnished,13.6363636363636,class3
"Seller
VERIFIED OWNER",9500,600,1,No Deposit,1 bathrooms,,"Electronics City, Bangalore",,Semi-Furnished,15.8333333333333,class2
"Seller
VERIFIED OWNER",15000,1300,2,No Deposit,2 bathrooms,East facing,"RR Nagar, Bangalore",,Semi-Furnished,11.5384615384615,class3
"Seller
VERIFIED OWNER",11000,1250,2,No Deposit,1 bathrooms,North facing,"Ramamurthy Nagar, Bangalore",,Semi-Furnished,8.8,class3
"Seller
VERIFIED OWNER",14000,450,1,No Deposit,1 bathrooms,,"Munnekollal, Bangalore",,Semi-Furnished,31.1111111111111,class2
"Seller
VERIFIED OWNER",12000,840,2,No Deposit,2 bathrooms,,"Nelamangala, Bangalore",Tata New Haven,Semi-Furnished,14.2857142857143,class3
"Seller
VERIFIED OWNER",13000,2000,1,No Deposit,3 bathrooms,,"Gottigere, Bangalore",,Semi-Furnished,6.5,class3
"Seller
VERIFIED OWNER",13000,1200,1,No Deposit,2 bathrooms,,"Margondanahalli, Bangalore",,Semi-Furnished,10.8333333333333,class3
"Seller
VERIFIED OWNER",6500,350,1,No Deposit,1 bathrooms,,"J. P. Nagar, Bangalore",,Semi-Furnished,18.5714285714286,class2
"Seller
VERIFIED OWNER",21000,550,1,No Deposit,1 bathrooms,North facing,"Whitefield, Bangalore",,Furnished,38.1818181818182,class1
"Seller
VERIFIED OWNER",9500,1200,2,No Deposit,2 bathrooms,NorthEast facing,"Kithaganur Colony, Bangalore",,Semi-Furnished,7.91666666666667,class3
"Seller
VERIFIED OWNER",20000,550,1,No Deposit,1 bathrooms,West facing,"Whitefield, Bangalore",,Furnished,36.3636363636364,class1
"Seller
VERIFIED OWNER",32800,550,1,No Deposit,1 bathrooms,East facing,"Bellandur, Bangalore",,Furnished,59.6363636363636,class1
"Seller
VERIFIED OWNER",18000,550,1,No Deposit,1 bathrooms,East facing,"Krishnarajapura, Bangalore",,Furnished,32.7272727272727,class2
"Seller
VERIFIED OWNER",65000,1650,3,No Deposit,3 bathrooms,,"Sarjapur Road Post Railway Crossing,",Ahad Euphoria,Semi-Furnished,39.3939393939394,class1
"Seller
VERIFIED OWNER",18000,1000,2,No Deposit,2 bathrooms,,"byatarayanapura, Bangalore",,Semi-Furnished,18,class2
"Seller
VERIFIED OWNER",25000,850,2,No Deposit,2 bathrooms,East facing,"Kasavanahalli, Bangalore",,Semi-Furnished,29.4117647058823,class2
"Seller
VERIFIED OWNER",8000,300,1,No Deposit,1 bathrooms,,"Kasavanahalli, Bangalore",,Furnished,26.6666666666667,class2
"Seller
VERIFIED OWNER",7000,1000,1,No Deposit,1 bathrooms,,"Domlur Layout, Bangalore",,Semi-Furnished,7,class3
"Seller
VERIFIED OWNER",13000,600,2,No Deposit,2 bathrooms,,"BTM Layout, Bangalore",,Semi-Furnished,21.6666666666667,class2
"Seller
VERIFIED OWNER",15000,1100,2,No Deposit,2 bathrooms,,"Koramangala, Bangalore",,Semi-Furnished,13.6363636363636,class3
"Seller
VERIFIED OWNER",9500,600,1,No Deposit,1 bathrooms,,"Electronics City, Bangalore",,Semi-Furnished,15.8333333333333,class2
"Seller
VERIFIED OWNER",15000,1300,2,No Deposit,2 bathrooms,East facing,"RR Nagar, Bangalore",,Semi-Furnished,11.5384615384615,class3
"Seller
VERIFIED OWNER",11000,1250,2,No Deposit,1 bathrooms,North facing,"Ramamurthy Nagar, Bangalore",,Semi-Furnished,8.8,class3
"Seller
VERIFIED OWNER",14000,450,1,No Deposit,1 bathrooms,,"Munnekollal, Bangalore",,Semi-Furnished,31.1111111111111,class2
"Seller
VERIFIED OWNER",12000,840,2,No Deposit,2 bathrooms,,"Nelamangala, Bangalore",Tata New Haven,Semi-Furnished,14.2857142857143,class3
"Seller
VERIFIED OWNER",13000,2000,1,No Deposit,3 bathrooms,,"Gottigere, Bangalore",,Semi-Furnished,6.5,class3
"Seller
VERIFIED OWNER",13000,1200,1,No Deposit,2 bathrooms,,"Margondanahalli, Bangalore",,Semi-Furnished,10.8333333333333,class3
"Seller
VERIFIED OWNER",6500,350,1,No Deposit,1 bathrooms,,"J. P. Nagar, Bangalore",,Semi-Furnished,18.5714285714286,class2
"Seller
VERIFIED OWNER",21000,550,1,No Deposit,1 bathrooms,North facing,"Whitefield, Bangalore",,Furnished,38.1818181818182,class1
"Seller
VERIFIED OWNER",9500,1200,2,No Deposit,2 bathrooms,NorthEast facing,"Kithaganur Colony, Bangalore",,Semi-Furnished,7.91666666666667,class3
"Seller
VERIFIED OWNER",20000,550,1,No Deposit,1 bathrooms,West facing,"Whitefield, Bangalore",,Furnished,36.3636363636364,class1
"Seller
VERIFIED OWNER",32800,550,1,No Deposit,1 bathrooms,East facing,"Bellandur, Bangalore",,Furnished,59.6363636363636,class1
"Seller
VERIFIED OWNER",18000,550,1,No Deposit,1 bathrooms,East facing,"Krishnarajapura, Bangalore",,Furnished,32.7272727272727,class2
"Seller
VERIFIED OWNER",65000,1650,3,No Deposit,3 bathrooms,,"Sarjapur Road Post Railway Crossing,",Ahad Euphoria,Semi-Furnished,39.3939393939394,class1
"Seller
VERIFIED OWNER",18000,1000,2,No Deposit,2 bathrooms,,"byatarayanapura, Bangalore",,Semi-Furnished,18,class2
"Seller
VERIFIED OWNER",25000,850,2,No Deposit,2 bathrooms,East facing,"Kasavanahalli, Bangalore",,Semi-Furnished,29.4117647058823,class2
"Seller
VERIFIED OWNER",8000,300,1,No Deposit,1 bathrooms,,"Kasavanahalli, Bangalore",,Furnished,26.6666666666667,class2
"Seller
VERIFIED OWNER",7000,1000,1,No Deposit,1 bathrooms,,"Domlur Layout, Bangalore",,Semi-Furnished,7,class3
"Seller
VERIFIED OWNER",13000,600,2,No Deposit,2 bathrooms,,"BTM Layout, Bangalore",,Semi-Furnished,21.6666666666667,class2
"Seller
VERIFIED OWNER",15000,1100,2,No Deposit,2 bathrooms,,"Koramangala, Bangalore",,Semi-Furnished,13.6363636363636,class3
"Seller
VERIFIED OWNER",9500,600,1,No Deposit,1 bathrooms,,"Electronics City, Bangalore",,Semi-Furnished,15.8333333333333,class2
"Seller
VERIFIED OWNER",15000,1300,2,No Deposit,2 bathrooms,East facing,"RR Nagar, Bangalore",,Semi-Furnished,11.5384615384615,class3
"Seller
VERIFIED OWNER",11000,1250,2,No Deposit,1 bathrooms,North facing,"Ramamurthy Nagar, Bangalore",,Semi-Furnished,8.8,class3
"Seller
VERIFIED OWNER",14000,450,1,No Deposit,1 bathrooms,,"Munnekollal, Bangalore",,Semi-Furnished,31.1111111111111,class2
"Seller
VERIFIED OWNER",12000,840,2,No Deposit,2 bathrooms,,"Nelamangala, Bangalore",Tata New Haven,Semi-Furnished,14.2857142857143,class3
"Seller
VERIFIED OWNER",13000,2000,1,No Deposit,3 bathrooms,,"Gottigere, Bangalore",,Semi-Furnished,6.5,class3
"Seller
VERIFIED OWNER",13000,1200,1,No Deposit,2 bathrooms,,"Margondanahalli, Bangalore",,Semi-Furnished,10.8333333333333,class3
"Seller
VERIFIED OWNER",6500,350,1,No Deposit,1 bathrooms,,"J. P. Nagar, Bangalore",,Semi-Furnished,18.5714285714286,class2
"Seller
VERIFIED OWNER",21000,550,1,No Deposit,1 bathrooms,North facing,"Whitefield, Bangalore",,Furnished,38.1818181818182,class1
"Seller
VERIFIED OWNER",9500,1200,2,No Deposit,2 bathrooms,NorthEast facing,"Kithaganur Colony, Bangalore",,Semi-Furnished,7.91666666666667,class3
"Seller
VERIFIED OWNER",20000,550,1,No Deposit,1 bathrooms,West facing,"Whitefield, Bangalore",,Furnished,36.3636363636364,class1
"Seller
VERIFIED OWNER",32800,550,1,No Deposit,1 bathrooms,East facing,"Bellandur, Bangalore",,Furnished,59.6363636363636,class1
"Seller
VERIFIED OWNER",18000,550,1,No Deposit,1 bathrooms,East facing,"Krishnarajapura, Bangalore",,Furnished,32.7272727272727,class2
"Seller
VERIFIED OWNER",65000,1650,3,No Deposit,3 bathrooms,,"Sarjapur Road Post Railway Crossing,",Ahad Euphoria,Semi-Furnished,39.3939393939394,class1
"Seller
VERIFIED OWNER",18000,1000,2,No Deposit,2 bathrooms,,"byatarayanapura, Bangalore",,Semi-Furnished,18,class2
"Seller
VERIFIED OWNER",25000,850,2,No Deposit,2 bathrooms,East facing,"Kasavanahalli, Bangalore",,Semi-Furnished,29.4117647058823,class2
"Seller
VERIFIED OWNER",8000,300,1,No Deposit,1 bathrooms,,"Kasavanahalli, Bangalore",,Furnished,26.6666666666667,class2
"Seller
VERIFIED OWNER",7000,1000,1,No Deposit,1 bathrooms,,"Domlur Layout, Bangalore",,Semi-Furnished,7,class3
"Seller
VERIFIED OWNER",13000,600,2,No Deposit,2 bathrooms,,"BTM Layout, Bangalore",,Semi-Furnished,21.6666666666667,class2
"Seller
VERIFIED OWNER",15000,1100,2,No Deposit,2 bathrooms,,"Koramangala, Bangalore",,Semi-Furnished,13.6363636363636,class3
"Seller
VERIFIED OWNER",9500,600,1,No Deposit,1 bathrooms,,"Electronics City, Bangalore",,Semi-Furnished,15.8333333333333,class2
"Seller
VERIFIED OWNER",15000,1300,2,No Deposit,2 bathrooms,East facing,"RR Nagar, Bangalore",,Semi-Furnished,11.5384615384615,class3
"Seller
VERIFIED OWNER",11000,1250,2,No Deposit,1 bathrooms,North facing,"Ramamurthy Nagar, Bangalore",,Semi-Furnished,8.8,class3
"Seller
VERIFIED OWNER",14000,450,1,No Deposit,1 bathrooms,,"Munnekollal, Bangalore",,Semi-Furnished,31.1111111111111,class2
"Seller
VERIFIED OWNER",12000,840,2,No Deposit,2 bathrooms,,"Nelamangala, Bangalore",Tata New Haven,Semi-Furnished,14.2857142857143,class3
"Seller
VERIFIED OWNER",13000,2000,1,No Deposit,3 bathrooms,,"Gottigere, Bangalore",,Semi-Furnished,6.5,class3
"Seller
VERIFIED OWNER",13000,1200,1,No Deposit,2 bathrooms,,"Margondanahalli, Bangalore",,Semi-Furnished,10.8333333333333,class3
"Seller
VERIFIED OWNER",6500,350,1,No Deposit,1 bathrooms,,"J. P. Nagar, Bangalore",,Semi-Furnished,18.5714285714286,class2
"Seller
VERIFIED OWNER",21000,550,1,No Deposit,1 bathrooms,North facing,"Whitefield, Bangalore",,Furnished,38.1818181818182,class1
"Seller
VERIFIED OWNER",9500,1200,2,No Deposit,2 bathrooms,NorthEast facing,"Kithaganur Colony, Bangalore",,Semi-Furnished,7.91666666666667,class3
"Seller
VERIFIED OWNER",20000,550,1,No Deposit,1 bathrooms,West facing,"Whitefield, Bangalore",,Furnished,36.3636363636364,class1
"Seller
VERIFIED OWNER",32800,550,1,No Deposit,1 bathrooms,East facing,"Bellandur, Bangalore",,Furnished,59.6363636363636,class1
"Seller
VERIFIED OWNER",18000,550,1,No Deposit,1 bathrooms,East facing,"Krishnarajapura, Bangalore",,Furnished,32.7272727272727,class2
"Seller
VERIFIED OWNER",65000,1650,3,No Deposit,3 bathrooms,,"Sarjapur Road Post Railway Crossing,",Ahad Euphoria,Semi-Furnished,39.3939393939394,class1
"Seller
VERIFIED OWNER",18000,1000,2,No Deposit,2 bathrooms,,"byatarayanapura, Bangalore",,Semi-Furnished,18,class2
"Seller
VERIFIED OWNER",25000,850,2,No Deposit,2 bathrooms,East facing,"Kasavanahalli, Bangalore",,Semi-Furnished,29.4117647058823,class2
"Seller
VERIFIED OWNER",8000,300,1,No Deposit,1 bathrooms,,"Kasavanahalli, Bangalore",,Furnished,26.6666666666667,class2
"Seller
VERIFIED OWNER",7000,1000,1,No Deposit,1 bathrooms,,"Domlur Layout, Bangalore",,Semi-Furnished,7,class3
"Seller
VERIFIED OWNER",13000,600,2,No Deposit,2 bathrooms,,"BTM Layout, Bangalore",,Semi-Furnished,21.6666666666667,class2
"Seller
VERIFIED OWNER",15000,1100,2,No Deposit,2 bathrooms,,"Koramangala, Bangalore",,Semi-Furnished,13.6363636363636,class3
"Seller
VERIFIED OWNER",9500,600,1,No Deposit,1 bathrooms,,"Electronics City, Bangalore",,Semi-Furnished,15.8333333333333,class2
"Seller
VERIFIED OWNER",15000,1300,2,No Deposit,2 bathrooms,East facing,"RR Nagar, Bangalore",,Semi-Furnished,11.5384615384615,class3
"Seller
VERIFIED OWNER",11000,1250,2,No Deposit,1 bathrooms,North facing,"Ramamurthy Nagar, Bangalore",,Semi-Furnished,8.8,class3
"Seller
VERIFIED OWNER",14000,450,1,No Deposit,1 bathrooms,,"Munnekollal, Bangalore",,Semi-Furnished,31.1111111111111,class2
"Seller
VERIFIED OWNER",12000,840,2,No Deposit,2 bathrooms,,"Nelamangala, Bangalore",Tata New Haven,Semi-Furnished,14.2857142857143,class3
"Seller
VERIFIED OWNER",13000,2000,1,No Deposit,3 bathrooms,,"Gottigere, Bangalore",,Semi-Furnished,6.5,class3
"Seller
VERIFIED OWNER",13000,1200,1,No Deposit,2 bathrooms,,"Margondanahalli, Bangalore",,Semi-Furnished,10.8333333333333,class3
"Seller
VERIFIED OWNER",6500,350,1,No Deposit,1 bathrooms,,"J. P. Nagar, Bangalore",,Semi-Furnished,18.5714285714286,class2
"Seller
VERIFIED OWNER",21000,550,1,No Deposit,1 bathrooms,North facing,"Whitefield, Bangalore",,Furnished,38.1818181818182,class1
"Seller
VERIFIED OWNER",9500,1200,2,No Deposit,2 bathrooms,NorthEast facing,"Kithaganur Colony, Bangalore",,Semi-Furnished,7.91666666666667,class3
"Seller
VERIFIED OWNER",20000,550,1,No Deposit,1 bathrooms,West facing,"Whitefield, Bangalore",,Furnished,36.3636363636364,class1
"Seller
VERIFIED OWNER",32800,550,1,No Deposit,1 bathrooms,East facing,"Bellandur, Bangalore",,Furnished,59.6363636363636,class1
"Seller
VERIFIED OWNER",18000,550,1,No Deposit,1 bathrooms,East facing,"Krishnarajapura, Bangalore",,Furnished,32.7272727272727,class2
"Seller
VERIFIED OWNER",65000,1650,3,No Deposit,3 bathrooms,,"Sarjapur Road Post Railway Crossing,",Ahad Euphoria,Semi-Furnished,39.3939393939394,class1
"Seller
VERIFIED OWNER",18000,1000,2,No Deposit,2 bathrooms,,"byatarayanapura, Bangalore",,Semi-Furnished,18,class2
"Seller
VERIFIED OWNER",25000,850,2,No Deposit,2 bathrooms,East facing,"Kasavanahalli, Bangalore",,Semi-Furnished,29.4117647058823,class2
"Seller
VERIFIED OWNER",8000,300,1,No Deposit,1 bathrooms,,"Kasavanahalli, Bangalore",,Furnished,26.6666666666667,class2
"Seller
VERIFIED OWNER",7000,1000,1,No Deposit,1 bathrooms,,"Domlur Layout, Bangalore",,Semi-Furnished,7,class3
"Seller
VERIFIED OWNER",13000,600,2,No Deposit,2 bathrooms,,"BTM Layout, Bangalore",,Semi-Furnished,21.6666666666667,class2
"Seller
VERIFIED OWNER",15000,1100,2,No Deposit,2 bathrooms,,"Koramangala, Bangalore",,Semi-Furnished,13.6363636363636,class3
"Seller
VERIFIED OWNER",9500,600,1,No Deposit,1 bathrooms,,"Electronics City, Bangalore",,Semi-Furnished,15.8333333333333,class2
"Seller
VERIFIED OWNER",15000,1300,2,No Deposit,2 bathrooms,East facing,"RR Nagar, Bangalore",,Semi-Furnished,11.5384615384615,class3
"Seller
VERIFIED OWNER",11000,1250,2,No Deposit,1 bathrooms,North facing,"Ramamurthy Nagar, Bangalore",,Semi-Furnished,8.8,class3
"Seller
VERIFIED OWNER",14000,450,1,No Deposit,1 bathrooms,,"Munnekollal, Bangalore",,Semi-Furnished,31.1111111111111,class2
"Seller
VERIFIED OWNER",12000,840,2,No Deposit,2 bathrooms,,"Nelamangala, Bangalore",Tata New Haven,Semi-Furnished,14.2857142857143,class3
"Seller
VERIFIED OWNER",13000,2000,1,No Deposit,3 bathrooms,,"Gottigere, Bangalore",,Semi-Furnished,6.5,class3
"Seller
VERIFIED OWNER",13000,1200,1,No Deposit,2 bathrooms,,"Margondanahalli, Bangalore",,Semi-Furnished,10.8333333333333,class3
"Seller
VERIFIED OWNER",6500,350,1,No Deposit,1 bathrooms,,"J. P. Nagar, Bangalore",,Semi-Furnished,18.5714285714286,class2
"Seller
VERIFIED OWNER",21000,550,1,No Deposit,1 bathrooms,North facing,"Whitefield, Bangalore",,Furnished,38.1818181818182,class1
"Seller
VERIFIED OWNER",9500,1200,2,No Deposit,2 bathrooms,NorthEast facing,"Kithaganur Colony, Bangalore",,Semi-Furnished,7.91666666666667,class3
"Seller
VERIFIED OWNER",20000,550,1,No Deposit,1 bathrooms,West facing,"Whitefield, Bangalore",,Furnished,36.3636363636364,class1
"Seller
VERIFIED OWNER",32800,550,1,No Deposit,1 bathrooms,East facing,"Bellandur, Bangalore",,Furnished,59.6363636363636,class1
"Seller
VERIFIED OWNER",18000,550,1,No Deposit,1 bathrooms,East facing,"Krishnarajapura, Bangalore",,Furnished,32.7272727272727,class2
"Seller
VERIFIED OWNER",65000,1650,3,No Deposit,3 bathrooms,,"Sarjapur Road Post Railway Crossing,",Ahad Euphoria,Semi-Furnished,39.3939393939394,class1
"Seller
VERIFIED OWNER",18000,1000,2,No Deposit,2 bathrooms,,"byatarayanapura, Bangalore",,Semi-Furnished,18,class2
"Seller
VERIFIED OWNER",25000,850,2,No Deposit,2 bathrooms,East facing,"Kasavanahalli, Bangalore",,Semi-Furnished,29.4117647058823,class2
"Seller
VERIFIED OWNER",8000,300,1,No Deposit,1 bathrooms,,"Kasavanahalli, Bangalore",,Furnished,26.6666666666667,class2
"Seller
VERIFIED OWNER",7000,1000,1,No Deposit,1 bathrooms,,"Domlur Layout, Bangalore",,Semi-Furnished,7,class3
"Seller
VERIFIED OWNER",13000,600,2,No Deposit,2 bathrooms,,"BTM Layout, Bangalore",,Semi-Furnished,21.6666666666667,class2
"Seller
VERIFIED OWNER",15000,1100,2,No Deposit,2 bathrooms,,"Koramangala, Bangalore",,Semi-Furnished,13.6363636363636,class3
"Seller
VERIFIED OWNER",9500,600,1,No Deposit,1 bathrooms,,"Electronics City, Bangalore",,Semi-Furnished,15.8333333333333,class2
"Seller
VERIFIED OWNER",15000,1300,2,No Deposit,2 bathrooms,East facing,"RR Nagar, Bangalore",,Semi-Furnished,11.5384615384615,class3
"Seller
VERIFIED OWNER",11000,1250,2,No Deposit,1 bathrooms,North facing,"Ramamurthy Nagar, Bangalore",,Semi-Furnished,8.8,class3
"Seller
VERIFIED OWNER",14000,450,1,No Deposit,1 bathrooms,,"Munnekollal, Bangalore",,Semi-Furnished,31.1111111111111,class2
"Seller
VERIFIED OWNER",12000,840,2,No Deposit,2 bathrooms,,"Nelamangala, Bangalore",Tata New Haven,Semi-Furnished,14.2857142857143,class3
"Seller
VERIFIED OWNER",13000,2000,1,No Deposit,3 bathrooms,,"Gottigere, Bangalore",,Semi-Furnished,6.5,class3
"Seller
VERIFIED OWNER",13000,1200,1,No Deposit,2 bathrooms,,"Margondanahalli, Bangalore",,Semi-Furnished,10.8333333333333,class3
"Seller
VERIFIED OWNER",6500,350,1,No Deposit,1 bathrooms,,"J. P. Nagar, Bangalore",,Semi-Furnished,18.5714285714286,class2
"Seller
VERIFIED OWNER",21000,550,1,No Deposit,1 bathrooms,North facing,"Whitefield, Bangalore",,Furnished,38.1818181818182,class1
"Seller
VERIFIED OWNER",9500,1200,2,No Deposit,2 bathrooms,NorthEast facing,"Kithaganur Colony, Bangalore",,Semi-Furnished,7.91666666666667,class3
"Seller
VERIFIED OWNER",20000,550,1,No Deposit,1 bathrooms,West facing,"Whitefield, Bangalore",,Furnished,36.3636363636364,class1
"Seller
VERIFIED OWNER",32800,550,1,No Deposit,1 bathrooms,East facing,"Bellandur, Bangalore",,Furnished,59.6363636363636,class1
"Seller
VERIFIED OWNER",18000,550,1,No Deposit,1 bathrooms,East facing,"Krishnarajapura, Bangalore",,Furnished,32.7272727272727,class2
"Seller
VERIFIED OWNER",65000,1650,3,No Deposit,3 bathrooms,,"Sarjapur Road Post Railway Crossing,",Ahad Euphoria,Semi-Furnished,39.3939393939394,class1
"Seller
VERIFIED OWNER",18000,1000,2,No Deposit,2 bathrooms,,"byatarayanapura, Bangalore",,Semi-Furnished,18,class2
"Seller
VERIFIED OWNER",25000,850,2,No Deposit,2 bathrooms,East facing,"Kasavanahalli, Bangalore",,Semi-Furnished,29.4117647058823,class2
"Seller
VERIFIED OWNER",8000,300,1,No Deposit,1 bathrooms,,"Kasavanahalli, Bangalore",,Furnished,26.6666666666667,class2
"Seller
VERIFIED OWNER",7000,1000,1,No Deposit,1 bathrooms,,"Domlur Layout, Bangalore",,Semi-Furnished,7,class3
"Seller
VERIFIED OWNER",13000,600,2,No Deposit,2 bathrooms,,"BTM Layout, Bangalore",,Semi-Furnished,21.6666666666667,class2
"Seller
VERIFIED OWNER",15000,1100,2,No Deposit,2 bathrooms,,"Koramangala, Bangalore",,Semi-Furnished,13.6363636363636,class3
"Seller
VERIFIED OWNER",9500,600,1,No Deposit,1 bathrooms,,"Electronics City, Bangalore",,Semi-Furnished,15.8333333333333,class2
"Seller
VERIFIED OWNER",15000,1300,2,No Deposit,2 bathrooms,East facing,"RR Nagar, Bangalore",,Semi-Furnished,11.5384615384615,class3
